scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
low,17,5,64.701,2.793,63.462,2.775
low,18,13,65.658,2.548,64.399,2.542
low,19,20,66.565,2.332,65.287,2.328
low,20,20,67.621,2.291,66.3,2.289
low,21,20,68.652,2.265,67.288,2.263
low,22,20,69.625,2.238,68.221,2.234
low,23,20,70.573,2.203,69.131,2.197
low,24,20,71.517,2.323,70.033,2.298
low,25,20,72.082,2.181,70.569,2.158
low,26,20,72.52,2.069,70.983,2.045
low,27,20,72.828,2.023,71.273,1.996
low,28,20,73.015,1.971,71.446,1.941
low,29,20,73.09,1.958,71.515,1.926
low,30,20,73.09,1.958,71.515,1.926
low,31,20,73.09,1.958,71.515,1.926
low,32,20,73.09,1.958,71.515,1.926
low,33,20,73.09,1.958,71.515,1.926
low,34,20,72.657,1.651,71.104,1.631
low,35,20,72.238,1.39,70.706,1.381
medium,17,5,65.472,2.365,64.177,2.338
medium,18,9,66.804,2.72,65.474,2.667
medium,19,20,67.338,2.964,66.008,2.915
medium,20,20,68.884,3.014,67.49,2.955
medium,21,20,70.127,2.99,68.685,2.928
medium,22,20,71.232,3.013,69.746,2.947
medium,23,20,72.631,3.68,71.075,3.552
medium,24,20,73.952,4.281,72.363,4.159
medium,25,20,74.598,4.079,72.979,3.966
medium,26,20,75.155,3.881,73.506,3.768
medium,27,20,75.534,3.726,73.86,3.619
medium,28,20,75.81,3.625,74.117,3.521
medium,29,20,75.954,3.598,74.252,3.493
medium,30,20,75.906,3.638,74.206,3.532
medium,31,20,75.857,3.689,74.16,3.581
medium,32,20,75.809,3.752,74.113,3.641
medium,33,20,75.761,3.825,74.067,3.71
medium,34,20,74.676,3.321,73.031,3.229
medium,35,20,73.613,2.853,72.015,2.782
great,17,7,67.128,2.535,65.835,2.494
great,18,15,68.303,2.527,66.969,2.467
great,19,20,69.39,3.046,68.012,2.959
great,20,20,70.929,3.149,69.496,3.063
great,21,20,72.459,4.023,70.96,3.888
great,22,20,73.575,4.149,72.037,4.024
great,23,20,75.414,4.933,73.787,4.753
great,24,20,77.323,5.585,75.644,5.409
great,25,20,77.853,5.373,76.16,5.21
great,26,20,78.195,5.158,76.488,5.006
great,27,20,78.426,5.038,76.71,4.894
great,28,20,78.578,4.959,76.856,4.82
great,29,20,78.693,4.901,76.965,4.766
great,30,20,78.741,4.86,77.012,4.726
great,31,20,78.754,4.851,77.023,4.718
great,32,20,78.763,4.845,77.031,4.712
great,33,20,78.771,4.839,77.038,4.707
great,34,20,77.415,3.92,75.74,3.826
great,35,20,76.088,3.062,74.471,3.005
starter,17,3,65.32,1.293,64.038,1.324
starter,18,13,67.375,1.026,66.083,1.017
starter,19,20,68.101,2.093,66.779,2.041
starter,20,20,69.489,2.333,68.112,2.263
starter,21,20,70.603,2.381,69.181,2.307
starter,22,20,71.669,2.43,70.208,2.357
starter,23,20,72.669,2.43,71.169,2.357
starter,24,20,73.835,2.997,72.277,2.88
starter,25,20,74.416,3.284,72.831,3.164
starter,26,20,74.713,3.396,73.11,3.275
starter,27,20,74.893,3.489,73.279,3.367
starter,28,20,74.908,3.754,73.29,3.622
starter,29,20,74.876,3.985,73.26,3.845
starter,30,20,74.787,4.179,73.175,4.03
starter,31,20,74.699,4.38,73.09,4.222
starter,32,20,74.602,4.604,72.998,4.437
starter,33,20,74.506,4.835,72.906,4.658
starter,34,20,73.554,4.537,71.996,4.373
starter,35,20,72.607,4.306,71.092,4.153
bench,17,6,66.021,1.762,64.788,1.776
bench,18,14,66.808,1.78,65.549,1.791
bench,19,20,67.258,2.312,65.971,2.307
bench,20,20,68.355,2.172,67.023,2.171
bench,21,20,69.356,2.111,67.981,2.112
bench,22,20,70.225,2.103,68.813,2.104
bench,23,20,71.058,2.143,69.61,2.141
bench,24,20,71.78,2.284,70.3,2.272
bench,25,20,72.167,2.252,70.665,2.229
bench,26,20,72.422,2.183,70.908,2.152
bench,27,20,72.602,2.142,71.077,2.106
bench,28,20,72.733,2.136,71.2,2.092
bench,29,20,72.778,2.123,71.24,2.078
bench,30,20,72.778,2.123,71.24,2.078
bench,31,20,72.778,2.123,71.24,2.078
bench,32,20,72.759,2.167,71.223,2.12
bench,33,20,72.739,2.219,71.204,2.168
bench,34,20,72.304,1.971,70.79,1.936
bench,35,20,71.884,1.784,70.39,1.761
