scenario,run_id,seed_player_id,season,age,games,goals,assists,weighted_overall,avg_skill,total_skill_change,final_multiplier,profile_name,trait_name,skill_attack,skill_defense,skill_balance,skill_stamina,skill_top_speed,skill_acceleration,skill_response,skill_agility,skill_dribble_accuracy,skill_dribble_speed,skill_short_pass_accuracy,skill_short_pass_speed,skill_long_pass_accuracy,skill_long_pass_speed,skill_shot_accuracy,skill_shot_power,skill_shot_technique,skill_free_kick_accuracy,skill_swerve,skill_heading,skill_jump,skill_technique,skill_aggression,skill_mentality,skill_goal_keeping,skill_team_work
zero,1,147,19,19,0,0,0,74.402,71.692,25,1.8191,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,41,67
low,2,147,19,19,12,1,1,69.402,66.692,25,0.6133,unknown,regular,67,39,60,81,73,73,73,79,80,75,75,70,69,67,66,66,65,62,66,50,69,78,74,59,36,62
medium,3,147,19,19,26,6,5,69.489,66.769,53,3.3888,unknown,regular,67,40,60,81,73,73,73,79,81,75,75,70,70,67,66,66,65,62,66,50,69,78,74,59,35,62
great,4,147,17,17,35,15,15,70.402,67.654,50,3.312,unknown,regular,68,40,61,82,74,74,74,80,81,76,76,71,70,68,67,67,66,63,67,51,70,79,75,60,36,63
starter,5,147,17,17,34,2,4,72.402,69.692,25,1.4338,unknown,regular,70,42,63,84,76,76,76,82,83,78,78,73,72,70,69,69,68,65,69,53,72,81,77,62,39,65
bench,6,147,19,19,8,0,0,71.622,68.923,31,2.2027,unknown,regular,69,42,62,83,76,76,75,81,83,77,78,72,71,69,68,68,67,64,68,52,71,81,76,61,38,64
zero,7,147,17,17,0,0,0,70.247,67.5,46,2.2127,unknown,regular,68,40,61,82,74,74,74,80,81,76,76,71,70,68,67,67,66,62,67,50,70,79,75,59,36,62
low,8,147,18,18,12,1,1,74.363,71.615,49,3.219,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,40,66
medium,9,147,19,19,26,6,5,75.402,72.692,25,2.7748,unknown,regular,73,45,66,87,79,79,79,85,86,81,81,76,75,73,72,72,71,68,72,56,75,84,80,65,42,68
great,10,147,17,17,35,15,15,74.402,71.654,50,4.1434,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,40,67
zero,11,147,20,20,0,0,0,75.402,72.654,25,1.8191,unknown,regular,73,45,66,87,79,79,79,85,86,81,81,76,75,73,72,72,71,68,72,56,75,84,80,65,41,68
low,12,147,20,20,12,1,1,70.402,67.654,25,0.6159,unknown,regular,68,40,61,82,74,74,74,80,81,76,76,71,70,68,67,67,66,63,67,51,70,79,75,60,36,63
medium,13,147,20,20,26,6,5,71.489,68.692,50,3.1649,unknown,regular,69,42,62,83,75,75,75,81,83,77,77,72,72,69,68,68,67,64,68,52,71,80,76,61,35,64
great,14,147,18,18,35,15,15,72.402,69.577,50,3.5188,unknown,regular,70,42,63,84,76,76,76,82,83,78,78,73,72,70,69,69,68,65,69,53,72,81,77,62,36,65
starter,15,147,18,18,34,2,4,73.402,70.654,25,1.4004,unknown,regular,71,43,64,85,77,77,77,83,84,79,79,74,73,71,70,70,69,66,70,54,73,82,78,63,39,66
bench,16,147,20,20,8,0,0,72.622,69.885,25,2.2051,unknown,regular,70,43,63,84,77,77,76,82,84,78,79,73,72,70,69,69,68,65,69,53,72,82,77,62,38,65
zero,17,147,18,18,0,0,0,71.467,68.692,31,2.2127,unknown,regular,69,42,62,84,75,76,75,81,83,77,77,72,71,69,68,69,67,63,68,51,71,81,76,60,36,63
low,18,147,19,19,12,1,1,75.453,72.654,27,3.1686,unknown,regular,73,45,66,87,79,79,79,85,87,81,81,76,75,73,72,72,71,68,72,56,75,85,80,65,40,67
medium,19,147,20,20,26,6,5,76.402,73.654,25,2.9812,unknown,regular,74,46,67,88,80,80,80,86,87,82,82,77,76,74,73,73,72,69,73,57,76,85,81,66,42,69
great,20,147,18,18,35,15,15,76.402,73.577,50,4.4418,unknown,regular,74,46,67,88,80,80,80,86,87,82,82,77,76,74,73,73,72,69,73,57,76,85,81,66,40,69
zero,21,147,21,21,0,0,0,76.402,73.615,25,1.8191,unknown,regular,74,46,67,88,80,80,80,86,87,82,82,77,76,74,73,73,72,69,73,57,76,85,81,66,41,69
low,22,147,21,21,12,1,1,71.402,68.615,25,0.6229,unknown,regular,69,41,62,83,75,75,75,81,82,77,77,72,71,69,68,68,67,64,68,52,71,80,76,61,36,64
medium,23,147,21,21,26,6,5,73.489,70.615,50,3.3839,unknown,regular,71,44,64,85,77,77,77,83,85,79,79,74,74,71,70,70,69,66,70,54,73,82,78,63,35,66
great,24,147,19,19,35,15,15,74.402,71.5,50,3.4702,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,36,67
starter,25,147,19,19,34,2,4,74.402,71.615,25,1.3733,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,39,67
bench,26,147,21,21,8,0,0,73.622,70.846,25,2.1923,unknown,regular,71,44,64,85,78,78,77,83,85,79,80,74,73,71,70,70,69,66,70,54,73,83,78,63,38,66
zero,27,147,19,19,0,0,0,72.467,69.654,25,2.2127,unknown,regular,70,43,63,85,76,77,76,82,84,78,78,73,72,70,69,70,68,64,69,52,72,82,77,61,36,64
low,28,147,20,20,12,1,1,76.453,73.615,25,3.156,unknown,regular,74,46,67,88,80,80,80,86,88,82,82,77,76,74,73,73,72,69,73,57,76,86,81,66,40,68
medium,29,147,21,21,26,6,5,77.402,74.615,25,2.7869,unknown,regular,75,47,68,89,81,81,81,87,88,83,83,78,77,75,74,74,73,70,74,58,77,86,82,67,42,70
great,30,147,19,19,35,15,15,77.402,74.538,25,4.0615,unknown,regular,75,47,68,89,81,81,81,87,88,83,83,78,77,75,74,74,73,70,74,58,77,86,82,67,40,70
zero,31,147,22,22,0,0,0,77.402,74.577,25,1.6681,unknown,regular,75,47,68,89,81,81,81,87,88,83,83,78,77,75,74,74,73,70,74,58,77,86,82,67,41,70
low,32,147,22,22,12,1,1,72.402,69.577,25,0.6119,unknown,regular,70,42,63,84,76,76,76,82,83,78,78,73,72,70,69,69,68,65,69,53,72,81,77,62,36,65
medium,33,147,22,22,26,6,5,74.879,71.962,35,3.1121,unknown,regular,72,46,65,87,79,79,78,85,86,81,81,76,75,72,71,72,70,67,71,55,74,84,79,64,35,67
great,34,147,20,20,35,15,15,76.042,73.077,41,3.6794,unknown,regular,74,46,67,88,80,80,79,86,87,82,82,76,76,74,72,73,72,68,73,56,75,85,80,65,36,68
starter,35,147,20,20,34,2,4,75.402,72.577,25,1.3005,unknown,regular,73,45,66,87,79,79,79,85,86,81,81,76,75,73,72,72,71,68,72,56,75,84,80,65,39,68
