scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
low,17,2,70.451,3.522,67.212,3.519
low,18,2,71.951,4.022,68.654,4.0
low,19,6,71.101,2.959,67.801,2.937
low,20,6,72.565,2.814,69.205,2.797
low,21,6,73.894,2.778,70.481,2.76
low,22,6,75.001,2.767,71.538,2.739
low,23,6,75.834,2.48,72.34,2.462
low,24,6,76.668,2.219,73.141,2.21
low,25,6,77.402,2.104,73.846,2.094
low,26,6,77.937,1.931,74.359,1.919
low,27,6,78.231,1.731,74.641,1.722
low,28,6,78.374,1.534,74.782,1.527
low,29,6,78.438,1.451,74.846,1.446
low,30,6,78.438,1.451,74.846,1.446
low,31,6,78.438,1.451,74.846,1.446
low,32,6,78.438,1.451,74.846,1.446
low,33,6,78.438,1.451,74.846,1.446
low,34,6,77.561,0.874,74.026,0.896
low,35,6,76.692,0.391,73.212,0.397
medium,17,1,68.623,0.0,65.308,0.0
medium,18,3,71.42,1.018,68.09,1.03
medium,19,6,71.334,2.663,67.987,2.62
medium,20,6,72.978,2.698,69.564,2.639
medium,21,6,74.145,2.65,70.686,2.587
medium,22,6,75.311,2.653,71.808,2.584
medium,23,6,76.29,2.654,72.75,2.584
medium,24,6,77.139,2.5,73.571,2.436
medium,25,6,77.844,2.343,74.25,2.282
medium,26,6,78.283,2.175,74.673,2.122
medium,27,6,78.411,1.934,74.801,1.893
medium,28,6,78.534,1.691,74.917,1.662
medium,29,6,78.636,1.479,75.013,1.459
medium,30,6,78.636,1.479,75.013,1.459
medium,31,6,78.636,1.479,75.013,1.459
medium,32,6,78.636,1.479,75.013,1.459
medium,33,6,78.636,1.479,75.013,1.459
medium,34,6,77.577,0.981,74.026,0.992
medium,35,6,76.525,0.618,73.045,0.631
great,17,3,70.432,0.711,67.154,0.68
great,18,4,72.217,0.905,68.885,0.871
great,19,6,72.155,2.728,68.808,2.667
great,20,6,73.398,2.496,70.006,2.445
great,21,6,74.531,2.208,71.096,2.168
great,22,6,75.592,2.031,72.115,1.998
great,23,6,76.558,2.008,73.045,1.977
great,24,6,77.446,1.906,73.897,1.879
great,25,6,77.869,1.587,74.308,1.568
great,26,6,78.173,1.283,74.596,1.272
great,27,6,78.447,1.05,74.859,1.039
great,28,6,78.614,0.949,75.019,0.92
great,29,6,78.665,0.945,75.071,0.909
great,30,6,78.665,0.945,75.071,0.909
great,31,6,78.665,0.945,75.071,0.909
great,32,6,78.665,0.945,75.071,0.909
great,33,6,78.665,0.945,75.071,0.909
great,34,6,77.788,0.51,74.25,0.495
great,35,6,76.911,0.175,73.429,0.164
starter,17,3,68.917,1.423,65.641,1.45
starter,18,5,70.99,0.875,67.677,0.926
starter,19,6,72.476,0.818,69.135,0.846
starter,20,6,73.688,0.925,70.301,0.916
starter,21,6,74.688,0.925,71.263,0.916
starter,22,6,75.688,0.925,72.224,0.916
starter,23,6,76.688,0.925,73.186,0.916
starter,24,6,77.676,0.922,74.135,0.913
starter,25,6,78.398,0.89,74.827,0.861
starter,26,6,78.637,0.667,75.058,0.625
starter,27,6,78.765,0.52,75.173,0.461
starter,28,6,78.765,0.52,75.173,0.461
starter,29,6,78.771,0.516,75.186,0.449
starter,30,6,78.771,0.516,75.186,0.449
starter,31,6,78.771,0.516,75.186,0.449
starter,32,6,78.771,0.516,75.186,0.449
starter,33,6,78.771,0.516,75.186,0.449
starter,34,6,77.954,0.302,74.429,0.258
starter,35,6,77.138,0.339,73.673,0.337
bench,17,2,70.796,0.867,67.538,0.846
bench,18,6,71.706,1.325,68.41,1.335
bench,19,6,73.383,1.364,70.019,1.346
bench,20,6,74.716,1.461,71.301,1.421
bench,21,6,75.864,1.523,72.404,1.467
bench,22,6,76.852,1.538,73.353,1.484
bench,23,6,77.827,1.572,74.288,1.518
bench,24,6,78.581,1.464,75.013,1.41
bench,25,6,78.691,1.379,75.122,1.33
bench,26,6,78.705,1.366,75.135,1.317
bench,27,6,78.705,1.366,75.135,1.317
bench,28,6,78.705,1.366,75.135,1.317
bench,29,6,78.705,1.366,75.135,1.317
bench,30,6,78.705,1.366,75.135,1.317
bench,31,6,78.705,1.366,75.135,1.317
bench,32,6,78.705,1.366,75.135,1.317
bench,33,6,78.705,1.366,75.135,1.317
bench,34,6,77.706,0.664,74.205,0.669
bench,35,6,76.699,0.36,73.269,0.349
