scenario,run_id,seed_player_id,season,age,games,goals,assists,weighted_overall,avg_skill,total_skill_change,final_multiplier,profile_name,trait_name,skill_attack,skill_defense,skill_balance,skill_stamina,skill_top_speed,skill_acceleration,skill_response,skill_agility,skill_dribble_accuracy,skill_dribble_speed,skill_short_pass_accuracy,skill_short_pass_speed,skill_long_pass_accuracy,skill_long_pass_speed,skill_shot_accuracy,skill_shot_power,skill_shot_technique,skill_free_kick_accuracy,skill_swerve,skill_heading,skill_jump,skill_technique,skill_aggression,skill_mentality,skill_goal_keeping,skill_team_work
low,1,3226,19,19,12,1,1,68.112,66.885,25,2.1736,unknown,regular,69,28,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,41,74
medium,2,3226,19,19,26,6,5,63.112,61.885,25,1.3141,unknown,regular,64,23,51,57,59,57,53,60,74,59,82,70,83,73,67,62,57,73,77,51,54,81,64,53,36,69
great,3,3226,19,19,35,15,15,64.112,62.808,75,4.9869,unknown,regular,65,24,52,58,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,35,70
starter,4,3226,17,17,34,2,4,64.112,62.846,50,3.2339,unknown,regular,65,24,52,58,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,36,70
bench,5,3226,17,17,8,0,0,66.112,64.885,25,0.7493,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
low,6,3226,19,19,12,1,1,65.695,64.423,39,2.5037,unknown,regular,66,25,54,60,62,60,56,63,77,62,85,72,86,75,69,65,59,75,79,53,57,84,66,55,38,72
medium,7,3226,17,17,26,6,5,65.112,63.808,75,4.9858,unknown,regular,66,25,53,59,61,59,55,62,76,61,84,72,85,75,69,64,59,75,79,53,56,83,66,55,36,71
great,8,3226,18,18,35,15,15,69.776,68.423,91,8.5521,unknown,regular,70,29,58,64,66,64,60,67,81,66,89,77,90,80,73,69,63,79,83,57,61,88,70,59,40,76
starter,9,3226,19,19,34,2,4,69.242,68.0,28,3.509,unknown,regular,70,29,57,64,65,63,59,66,80,65,88,76,89,79,73,69,63,79,83,57,60,88,70,59,42,75
bench,10,3226,17,17,8,0,0,67.112,65.885,25,1.8795,unknown,regular,68,27,55,61,63,61,57,64,78,63,86,74,87,77,71,66,61,77,81,55,58,85,68,57,40,73
low,11,3226,19,19,12,1,1,64.229,63.0,28,0.9775,unknown,sharpie,65,24,52,58,60,58,54,61,75,60,83,71,84,74,69,64,59,74,78,52,55,82,65,54,37,70
medium,12,3226,19,19,26,6,5,65.655,64.269,113,7.2959,unknown,regular,66,25,54,60,62,60,56,63,77,62,85,72,86,75,69,65,59,75,79,53,57,84,66,55,35,71
