scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
zero,17,1,70.247,0.0,67.5,0.0
zero,18,1,71.467,0.0,68.692,0.0
zero,19,2,73.435,0.968,70.673,1.019
zero,20,2,74.435,0.968,71.635,1.019
zero,21,2,75.435,0.968,72.596,1.019
zero,22,2,76.435,0.968,73.558,1.019
zero,23,2,77.435,0.968,74.519,1.019
zero,24,2,78.435,0.968,75.481,1.019
zero,25,2,79.152,0.686,76.173,0.75
zero,26,2,79.617,0.266,76.635,0.365
zero,27,2,79.831,0.097,76.846,0.192
zero,28,2,79.851,0.077,76.865,0.173
zero,29,2,79.851,0.077,76.865,0.173
zero,30,2,79.851,0.077,76.865,0.173
zero,31,2,79.851,0.077,76.865,0.173
zero,32,2,79.851,0.077,76.865,0.173
zero,33,2,79.851,0.077,76.865,0.173
zero,34,2,77.794,0.381,74.923,0.269
zero,35,2,76.179,0.862,73.404,0.712
zero,36,2,74.234,0.923,71.577,0.769
zero,37,2,72.731,1.426,70.154,1.231
zero,38,2,68.603,0.359,66.269,0.231
zero,39,2,64.854,0.131,62.712,0.019
zero,40,2,61.841,0.921,59.865,0.981
low,18,1,74.363,0.0,71.615,0.0
low,19,2,72.427,3.025,69.673,2.981
low,20,2,73.427,3.025,70.635,2.981
low,21,2,74.427,3.025,71.596,2.981
low,22,2,75.427,3.025,72.558,2.981
low,23,2,76.427,3.025,73.519,2.981
low,24,2,77.427,3.025,74.481,2.981
low,25,2,78.312,3.065,75.327,3.019
low,26,2,78.763,2.958,75.769,2.923
low,27,2,79.218,2.936,76.269,2.962
low,28,2,79.546,2.956,76.596,2.981
low,29,2,79.698,2.976,76.769,3.0
low,30,2,79.72,2.997,76.788,3.019
low,31,2,79.72,2.997,76.788,3.019
low,32,2,79.72,2.997,76.788,3.019
low,33,2,79.72,2.997,76.788,3.019
low,34,2,78.672,1.95,75.788,2.019
low,35,2,77.639,1.179,74.827,1.288
