scenario,run_id,seed_player_id,season,age,games,goals,assists,weighted_overall,avg_skill,total_skill_change,final_multiplier,profile_name,trait_name,skill_attack,skill_defense,skill_balance,skill_stamina,skill_top_speed,skill_acceleration,skill_response,skill_agility,skill_dribble_accuracy,skill_dribble_speed,skill_short_pass_accuracy,skill_short_pass_speed,skill_long_pass_accuracy,skill_long_pass_speed,skill_shot_accuracy,skill_shot_power,skill_shot_technique,skill_free_kick_accuracy,skill_swerve,skill_heading,skill_jump,skill_technique,skill_aggression,skill_mentality,skill_goal_keeping,skill_team_work
low,1,838,19,19,12,1,1,71.929,68.692,25,0.8829,unknown,regular,70,32,74,77,91,91,69,89,68,86,62,60,64,66,68,75,71,53,54,69,87,72,80,58,41,59
medium,2,838,19,19,26,6,5,66.929,63.692,25,0.9053,unknown,regular,65,27,69,72,86,86,64,84,63,81,57,55,59,61,63,70,66,48,49,64,82,67,75,53,36,54
great,3,838,19,19,35,15,15,67.702,64.385,69,3.7816,unknown,regular,66,28,70,73,87,87,65,85,64,82,58,55,59,61,64,71,67,48,49,65,83,68,76,54,35,54
starter,4,838,17,17,34,2,4,67.779,64.5,46,2.2363,unknown,regular,66,28,70,73,87,87,65,85,64,82,58,56,60,61,64,71,67,48,49,65,83,68,76,53,36,55
bench,5,838,17,17,8,0,0,69.581,66.346,16,0.1854,unknown,regular,68,30,72,75,89,89,67,87,66,84,59,57,61,63,66,73,69,50,51,66,85,70,78,55,39,56
low,6,838,19,19,12,1,1,68.929,65.692,25,0.9867,unknown,regular,67,29,71,74,88,88,66,86,65,83,59,57,61,63,65,72,68,50,51,66,84,69,77,55,38,56
medium,7,838,17,17,26,6,5,67.929,64.654,50,3.4158,unknown,regular,66,28,70,73,87,87,65,85,64,82,58,56,60,62,64,71,67,49,50,65,83,68,76,54,36,55
great,8,838,18,18,35,15,15,72.857,69.538,73,6.4465,unknown,regular,71,33,75,78,92,92,70,90,69,87,63,61,65,67,69,76,72,53,54,70,88,73,81,59,40,60
starter,9,838,19,19,34,2,4,72.929,69.692,25,2.4306,unknown,regular,71,33,75,78,92,92,70,90,69,87,63,61,65,67,69,76,72,54,55,70,88,73,81,59,42,60
bench,10,838,17,17,8,0,0,70.857,67.615,23,0.4564,unknown,regular,69,31,73,76,90,90,68,88,67,85,61,59,63,65,67,74,70,51,52,68,86,71,79,57,40,58
