scenario,run_id,seed_player_id,season,age,games,goals,assists,weighted_overall,avg_skill,total_skill_change,final_multiplier,profile_name,trait_name,skill_attack,skill_defense,skill_balance,skill_stamina,skill_top_speed,skill_acceleration,skill_response,skill_agility,skill_dribble_accuracy,skill_dribble_speed,skill_short_pass_accuracy,skill_short_pass_speed,skill_long_pass_accuracy,skill_long_pass_speed,skill_shot_accuracy,skill_shot_power,skill_shot_technique,skill_free_kick_accuracy,skill_swerve,skill_heading,skill_jump,skill_technique,skill_aggression,skill_mentality,skill_goal_keeping,skill_team_work
low,1,3226,19,19,12,1,1,68.116,66.885,25,0.8829,unknown,regular,69,28,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,41,74
medium,2,3226,19,19,26,6,5,63.116,61.885,25,0.9053,unknown,regular,64,23,51,57,59,57,53,60,74,59,82,70,83,73,67,62,57,73,77,51,54,81,64,53,36,69
great,3,3226,19,19,35,15,15,63.698,62.385,64,3.7816,unknown,regular,64,23,52,58,60,58,54,61,75,60,83,71,84,73,67,63,57,73,77,51,55,82,64,53,35,69
starter,4,3226,17,17,34,2,4,63.779,62.5,41,2.2363,unknown,regular,64,23,52,58,60,58,54,61,75,60,83,71,84,74,67,63,57,73,77,51,55,82,64,53,36,70
bench,5,3226,17,17,8,0,0,65.203,64.0,2,0.1854,unknown,regular,66,25,53,60,61,59,55,62,76,61,84,72,85,75,69,65,59,75,79,53,56,83,66,55,39,71
low,6,3226,19,19,12,1,1,65.116,63.885,25,0.9867,unknown,regular,66,25,53,59,61,59,55,62,76,61,84,72,85,75,69,64,59,75,79,53,56,83,66,55,38,71
medium,7,3226,17,17,26,6,5,64.116,62.846,50,3.4158,unknown,regular,65,24,52,58,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,36,70
great,8,3226,18,18,35,15,15,69.081,67.769,74,6.4465,unknown,regular,70,28,57,63,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,87,70,59,40,75
starter,9,3226,19,19,34,2,4,69.116,67.885,25,2.4306,unknown,regular,70,29,57,63,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,87,70,59,42,75
bench,10,3226,17,17,8,0,0,67.081,65.846,24,0.4564,unknown,regular,68,26,55,61,63,61,57,64,78,63,86,74,87,77,71,66,61,77,81,55,58,85,68,57,40,73
low,11,3226,19,19,12,1,1,63.87,62.654,19,0.3932,unknown,sharpie,65,23,51,57,59,57,54,61,75,60,83,71,84,74,68,63,58,74,78,52,54,82,65,54,37,70
medium,12,3226,19,19,26,6,5,64.16,62.846,76,4.9987,unknown,regular,65,24,52,59,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,35,70
great,13,3226,17,17,35,15,15,66.116,64.885,25,1.26,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
starter,14,3226,18,18,34,2,4,67.116,65.846,50,3.6628,unknown,regular,68,27,55,61,63,61,57,64,78,63,86,74,87,77,71,66,61,77,81,55,58,85,68,57,39,73
bench,15,3226,18,18,8,0,0,66.116,64.923,0,0.1129,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,40,72
low,16,3226,17,17,12,1,1,62.931,61.692,20,0.3022,unknown,regular,64,22,51,57,59,57,53,60,74,59,82,70,83,73,66,62,56,72,76,51,54,81,64,53,36,69
medium,17,3226,18,18,26,6,5,66.389,65.154,32,2.2871,unknown,sharpie,67,26,54,60,62,60,56,63,77,62,85,73,86,76,71,67,62,78,80,54,57,84,67,56,39,72
great,18,3226,17,17,35,15,15,67.666,66.385,64,4.7925,unknown,sharpie,68,27,55,61,63,61,57,65,78,63,86,74,87,77,74,70,64,80,81,55,58,85,68,57,39,73
starter,19,3226,17,17,34,2,4,67.116,65.885,25,1.5198,unknown,regular,68,27,55,61,63,61,57,64,78,63,86,74,87,77,71,66,61,77,81,55,58,85,68,57,40,73
bench,20,3226,18,18,8,0,0,69.116,67.885,25,0.8516,unknown,regular,70,29,57,63,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,87,70,59,42,75
low,21,3226,17,17,12,1,1,69.116,67.885,25,1.5752,unknown,regular,70,29,57,63,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,87,70,59,42,75
