scenario,run_id,seed_player_id,season,age,games,goals,assists,weighted_overall,avg_skill,total_skill_change,final_multiplier,profile_name,trait_name,skill_attack,skill_defense,skill_balance,skill_stamina,skill_top_speed,skill_acceleration,skill_response,skill_agility,skill_dribble_accuracy,skill_dribble_speed,skill_short_pass_accuracy,skill_short_pass_speed,skill_long_pass_accuracy,skill_long_pass_speed,skill_shot_accuracy,skill_shot_power,skill_shot_technique,skill_free_kick_accuracy,skill_swerve,skill_heading,skill_jump,skill_technique,skill_aggression,skill_mentality,skill_goal_keeping,skill_team_work
zero,1,3226,19,19,0,0,0,68.087,66.885,25,1.9683,unknown,regular,69,28,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,41,74
low,2,3226,19,19,12,1,1,63.087,61.885,25,0.6829,unknown,regular,64,23,51,57,59,57,53,60,74,59,82,70,83,73,67,62,57,73,77,51,54,81,64,53,36,69
medium,3,3226,19,19,26,6,5,63.753,62.462,66,3.9552,unknown,regular,64,23,52,58,60,58,54,61,75,60,83,71,84,74,67,63,57,73,77,51,55,82,64,53,35,70
great,4,3226,17,17,35,15,15,64.629,63.346,63,4.1302,unknown,regular,65,24,52,59,61,59,54,62,76,61,84,71,85,75,68,64,58,74,78,52,56,83,65,55,36,70
starter,5,3226,17,17,34,2,4,66.087,64.885,25,1.5826,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
bench,6,3226,19,19,8,0,0,65.259,64.038,29,2.3817,unknown,regular,66,25,54,60,61,59,55,62,76,61,84,72,85,75,69,65,59,75,79,53,57,83,66,55,38,71
zero,7,3226,17,17,0,0,0,63.868,62.615,44,2.3943,unknown,regular,64,23,52,58,60,58,54,61,75,60,83,71,84,74,67,63,57,73,77,52,55,82,65,54,36,70
low,8,3226,18,18,12,1,1,68.016,66.769,48,3.4976,unknown,regular,69,27,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,77,82,56,59,86,69,58,40,74
medium,9,3226,19,19,26,6,5,69.132,67.923,26,3.3412,unknown,regular,70,29,57,64,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,87,70,59,42,75
great,10,3226,17,17,35,15,15,68.26,67.0,54,5.2774,unknown,regular,69,28,56,63,64,63,58,65,79,64,87,75,88,78,72,68,62,78,82,56,59,87,69,58,40,74
starter,11,3226,19,19,34,2,4,64.32,63.115,31,2.0004,unknown,sharpie,65,24,52,58,60,58,54,61,75,60,83,71,84,74,69,65,60,75,78,52,55,82,65,54,37,70
bench,12,3226,19,19,8,0,0,63.259,62.0,54,3.5981,unknown,regular,64,23,52,58,59,57,53,60,74,59,82,70,83,73,67,63,57,73,77,51,54,82,64,53,35,69
zero,13,3226,17,17,0,0,0,66.087,64.885,25,0.5672,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
low,14,3226,18,18,12,1,1,66.218,65.0,28,2.4858,unknown,regular,67,26,54,61,63,60,56,63,77,62,85,73,86,76,70,66,60,76,80,54,57,84,67,56,39,72
medium,15,3226,18,18,26,6,5,67.087,65.885,25,0.9152,unknown,regular,68,27,55,61,63,61,57,64,78,63,86,74,87,77,71,66,61,77,81,55,58,85,68,57,40,73
great,16,3226,17,17,35,15,15,63.552,62.308,36,2.0843,unknown,regular,64,23,52,58,60,58,53,61,75,59,83,70,84,73,67,63,57,73,77,51,55,82,64,53,36,69
starter,17,3226,18,18,34,2,4,67.114,65.885,51,3.6413,unknown,sharpie,68,27,54,60,62,60,57,64,78,63,86,74,87,77,72,69,62,78,81,55,57,85,68,57,39,73
bench,18,3226,17,17,8,0,0,66.363,65.154,32,2.4929,unknown,sharpie,67,26,54,60,62,60,56,63,77,62,85,73,86,76,72,68,61,77,80,54,57,84,67,56,39,72
zero,19,3226,17,17,0,0,0,67.087,65.885,25,0.9333,unknown,regular,68,27,55,61,63,61,57,64,78,63,86,74,87,77,71,66,61,77,81,55,58,85,68,57,40,73
low,20,3226,18,18,12,1,1,69.468,68.231,34,3.6541,unknown,regular,70,29,58,64,66,63,59,67,80,65,89,76,90,79,73,69,63,79,83,57,61,88,70,59,42,75
medium,21,3226,17,17,26,6,5,70.979,69.692,72,7.9878,unknown,regular,72,30,59,65,67,65,61,68,82,67,90,78,91,81,74,70,65,80,85,59,62,89,72,61,42,77
great,22,3226,19,19,35,15,15,69.174,67.923,52,5.733,unknown,regular,70,29,57,64,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,88,70,59,41,75
starter,23,3226,17,17,34,2,4,66.83,65.538,68,5.1369,unknown,regular,67,26,55,61,63,61,57,64,78,63,86,74,87,77,70,66,60,76,80,54,58,85,68,57,38,73
bench,24,3226,18,18,8,0,0,68.087,66.885,25,1.3123,regular,regular,69,28,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,41,74
zero,25,3226,18,18,0,0,0,64.302,63.038,55,3.8483,unknown,regular,65,24,52,59,61,59,54,61,75,60,83,71,84,74,68,64,58,74,78,52,55,83,65,54,36,70
low,26,3226,19,19,12,1,1,65.087,63.846,50,3.4417,unknown,regular,66,25,53,59,61,59,55,62,76,61,84,72,85,75,69,64,59,75,79,53,56,83,66,55,37,71
medium,27,3226,18,18,26,6,5,69.301,68.0,80,8.0552,unknown,regular,70,29,58,64,66,63,59,66,80,65,89,76,89,79,73,69,63,79,83,57,60,87,70,59,40,75
great,28,3226,19,19,35,15,15,68.016,66.769,48,3.5302,unknown,regular,69,27,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,77,82,56,59,86,69,58,40,74
starter,29,3226,17,17,34,2,4,64.672,63.346,89,5.7459,unknown,regular,65,24,53,59,61,59,54,62,76,60,84,72,85,75,68,64,58,74,78,52,56,83,65,54,35,71
bench,30,3226,18,18,8,0,0,67.087,65.846,50,3.865,unknown,regular,68,27,55,61,63,61,57,64,78,63,86,74,87,77,71,66,61,77,81,55,58,85,68,57,39,73
zero,31,3226,17,17,0,0,0,62.087,60.885,25,0.789,unknown,regular,63,22,50,56,58,56,52,59,73,58,81,69,82,72,66,61,56,72,76,50,53,80,63,52,35,68
low,32,3226,18,18,12,1,1,64.087,62.885,25,1.0468,unknown,regular,65,24,52,58,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,37,70
medium,33,3226,18,18,26,6,5,66.743,65.423,117,7.7118,unknown,sharpie,67,26,53,59,61,59,56,64,77,62,85,73,87,76,74,73,64,80,80,54,56,84,67,56,36,72
great,34,3226,18,18,35,15,15,68.016,66.731,73,6.0329,unknown,regular,69,27,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,77,82,56,59,86,69,58,39,74
starter,35,3226,19,19,34,2,4,65.176,63.885,77,5.4467,unknown,regular,66,25,53,60,61,59,55,62,76,61,84,72,85,75,69,65,59,75,79,53,56,83,66,55,36,71
bench,36,3226,18,18,8,0,0,66.087,64.885,25,0.8385,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
zero,37,3226,17,17,0,0,0,62.087,60.885,25,1.3276,unknown,regular,63,22,50,56,58,56,52,59,73,58,81,69,82,72,66,61,56,72,76,50,53,80,63,52,35,68
low,38,3226,19,19,12,1,1,66.087,64.885,25,0.9695,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
medium,39,3226,19,19,26,6,5,64.087,62.885,25,1.1286,unknown,regular,65,24,52,58,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,37,70
great,40,3226,19,19,35,15,15,63.753,62.462,66,3.9865,unknown,regular,64,23,52,58,60,58,54,61,75,60,83,71,84,74,67,63,57,73,77,51,55,82,64,53,35,70
starter,41,3226,18,18,34,2,4,66.342,65.077,56,4.4949,unknown,regular,67,26,54,61,62,61,56,64,78,62,85,73,86,76,70,66,60,76,80,54,58,84,67,56,38,72
bench,42,3226,17,17,8,0,0,68.132,66.923,26,2.8802,unknown,regular,69,28,56,63,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,41,74
zero,43,3226,18,18,0,0,0,66.087,64.885,25,1.9472,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
low,44,3226,19,19,12,1,1,64.943,63.731,21,0.429,decliner,regular,66,24,53,59,61,59,55,62,76,61,84,72,85,75,68,64,59,74,78,53,56,83,66,55,38,71
medium,45,3226,17,17,26,6,5,69.24,68.038,29,1.9276,unknown,sharpie,70,29,57,63,65,63,59,66,80,65,88,76,89,79,74,69,64,80,83,57,60,87,70,59,42,75
great,46,3226,18,18,35,15,15,64.4,63.038,81,3.9503,unknown,genetic_freak,64,23,56,63,63,61,53,61,75,59,83,71,84,74,67,62,57,73,77,51,58,82,64,53,35,70
starter,47,3226,17,17,34,2,4,63.087,61.885,25,0.895,unknown,regular,64,23,51,57,59,57,53,60,74,59,82,70,83,73,67,62,57,73,77,51,54,81,64,53,36,69
bench,48,3226,19,19,8,0,0,68.217,67.0,28,3.1021,unknown,regular,69,28,56,63,64,62,58,65,79,64,88,75,88,78,72,68,62,78,82,56,59,86,69,58,41,74
zero,49,3226,18,18,0,0,0,66.087,64.846,50,3.2955,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,38,72
low,50,3226,18,18,12,1,1,67.176,65.962,27,2.6309,unknown,regular,68,27,55,62,63,61,57,64,78,63,86,74,87,77,71,67,61,77,81,55,58,85,68,57,40,73
medium,51,3226,18,18,26,6,5,70.015,68.731,73,7.3151,unknown,regular,71,29,58,64,66,64,60,67,81,66,89,77,90,80,74,69,64,80,83,58,61,88,71,60,41,76
great,52,3226,19,19,35,15,15,69.978,68.731,47,4.3745,unknown,regular,71,29,58,64,66,64,60,67,81,66,89,77,90,80,73,69,63,80,84,58,61,88,71,60,42,76
starter,53,3226,18,18,34,2,4,64.087,62.846,50,2.6629,unknown,regular,65,24,52,58,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,36,70
bench,54,3226,18,18,8,0,0,65.087,63.885,25,0.5774,unknown,regular,66,25,53,59,61,59,55,62,76,61,84,72,85,75,69,64,59,75,79,53,56,83,66,55,38,71
zero,55,3226,17,17,0,0,0,66.087,64.885,25,1.2713,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
low,56,3226,19,19,12,1,1,69.087,67.885,25,2.3613,unknown,regular,70,29,57,63,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,87,70,59,42,75
medium,57,3226,18,18,26,6,5,63.051,61.808,49,2.3892,unknown,regular,64,23,51,57,59,57,53,60,74,59,82,70,83,73,67,62,57,72,77,51,54,81,64,53,35,69
great,58,3226,19,19,35,15,15,66.087,64.846,50,3.9328,unknown,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,38,72
starter,59,3226,18,18,34,2,4,66.087,64.885,25,2.0118,regular,regular,67,26,54,60,62,60,56,63,77,62,85,73,86,76,70,65,60,76,80,54,57,84,67,56,39,72
bench,60,3226,18,18,8,0,0,63.087,61.885,25,0.555,decliner,regular,64,23,51,57,59,57,53,60,74,59,82,70,83,73,67,62,57,73,77,51,54,81,64,53,36,69
zero,61,3226,18,18,0,0,0,69.087,67.885,25,0.9791,unknown,regular,70,29,57,63,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,87,70,59,42,75
low,62,3226,19,19,12,1,1,63.176,61.962,27,2.0116,early_peak,regular,64,23,51,58,59,57,53,60,74,59,82,70,83,73,67,63,57,73,77,51,54,81,64,53,36,69
medium,63,3226,17,17,26,6,5,70.176,68.885,77,8.444,unknown,regular,71,30,58,65,66,64,60,67,81,66,89,77,90,80,74,70,64,80,84,58,61,88,71,60,41,76
great,64,3226,18,18,35,15,15,68.132,66.885,51,4.9761,unknown,regular,69,28,56,63,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,40,74
starter,65,3226,19,19,34,2,4,69.087,67.885,25,2.2159,unknown,regular,70,29,57,63,65,63,59,66,80,65,88,76,89,79,73,68,63,79,83,57,60,87,70,59,42,75
bench,66,3226,17,17,8,0,0,63.087,61.885,25,1.1688,unknown,regular,64,23,51,57,59,57,53,60,74,59,82,70,83,73,67,62,57,73,77,51,54,81,64,53,36,69
zero,67,3226,19,19,0,0,0,62.087,60.885,25,0.708,unknown,regular,63,22,50,56,58,56,52,59,73,58,81,69,82,72,66,61,56,72,76,50,53,80,63,52,35,68
low,68,3226,17,17,12,1,1,65.087,63.846,50,3.445,unknown,regular,66,25,53,59,61,59,55,62,76,61,84,72,85,75,69,64,59,75,79,53,56,83,66,55,37,71
medium,69,3226,18,18,26,6,5,66.713,65.423,65,4.8307,unknown,regular,67,26,55,61,63,61,57,64,78,63,86,74,87,76,70,66,60,76,80,54,58,85,67,56,38,73
great,70,3226,17,17,35,15,15,65.259,63.962,79,5.6152,unknown,jokester,66,25,53,60,61,59,55,62,76,61,85,72,85,75,69,65,59,75,79,53,56,84,66,55,36,71
starter,71,3226,18,18,34,2,4,64.713,63.423,65,4.2517,unknown,regular,65,24,53,59,61,59,55,62,76,61,84,71,85,75,68,64,58,74,78,52,56,83,65,54,36,71
bench,72,3226,19,19,8,0,0,64.087,62.846,50,2.7615,unknown,regular,65,24,52,58,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,36,70
zero,73,3226,18,18,0,0,0,65.839,64.654,19,0.5109,unknown,sharpie,67,25,53,59,61,59,56,63,77,62,85,73,86,76,70,65,60,76,80,54,56,84,67,56,39,72
low,74,3226,18,18,12,1,1,68.087,66.885,25,0.9081,unknown,regular,69,28,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,41,74
medium,75,3226,17,17,26,6,5,64.087,62.885,25,0.9536,unknown,regular,65,24,52,58,60,58,54,61,75,60,83,71,84,74,68,63,58,74,78,52,55,82,65,54,37,70
great,76,3226,18,18,35,15,15,68.132,66.846,76,6.822,unknown,regular,69,28,56,63,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,39,74
starter,77,3226,19,19,34,2,4,68.791,67.462,92,8.0142,unknown,regular,69,28,57,63,65,63,59,66,80,65,88,76,89,79,72,68,62,78,82,57,60,87,69,58,39,75
bench,78,3226,18,18,8,0,0,68.217,67.0,28,3.169,unknown,regular,69,28,56,63,64,62,58,66,79,64,87,75,88,78,72,68,62,78,82,56,59,86,69,58,41,74
zero,79,3226,19,19,0,0,0,67.079,65.846,50,3.4188,unknown,sharpie,68,26,54,60,62,60,57,64,78,63,86,74,87,77,72,69,62,78,81,55,57,85,68,57,39,73
low,80,3226,19,19,12,1,1,63.087,61.846,50,3.0381,unknown,regular,64,23,51,57,59,57,53,60,74,59,82,70,83,73,67,62,57,73,77,51,54,81,64,53,35,69
medium,81,3226,18,18,26,6,5,64.176,62.923,52,3.6221,unknown,regular,65,24,52,59,60,58,54,61,75,60,83,71,84,74,68,64,58,74,78,52,55,82,65,54,36,70
great,82,3226,19,19,35,15,15,65.753,64.462,66,4.644,unknown,regular,66,25,54,60,62,60,56,63,77,62,85,73,86,76,69,65,59,75,79,53,57,84,66,55,37,72
starter,83,3226,17,17,34,2,4,67.087,65.885,25,1.0642,unknown,regular,68,27,55,61,63,61,57,64,78,63,86,74,87,77,71,66,61,77,81,55,58,85,68,57,40,73
bench,84,3226,19,19,8,0,0,68.052,66.846,24,0.6474,unknown,regular,69,27,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,41,74
zero,85,3226,19,19,0,0,0,68.087,66.885,25,2.5879,unknown,regular,69,28,56,62,64,62,58,65,79,64,87,75,88,78,72,67,62,78,82,56,59,86,69,58,41,74
low,86,3226,17,17,12,1,1,65.217,64.0,28,2.3193,unknown,regular,66,25,53,60,61,59,55,62,76,61,84,72,85,75,69,65,59,75,79,53,57,83,66,55,38,71
