scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
zero,17,1,70.247,0.0,67.5,0.0
zero,18,1,71.467,0.0,68.692,0.0
zero,19,2,73.435,0.968,70.673,1.019
zero,20,2,74.435,0.968,71.635,1.019
zero,21,2,75.435,0.968,72.596,1.019
zero,22,2,76.435,0.968,73.558,1.019
zero,23,2,77.435,0.968,74.519,1.019
zero,24,2,78.435,0.968,75.481,1.019
zero,25,2,79.152,0.686,76.173,0.75
zero,26,2,79.617,0.266,76.635,0.365
zero,27,2,79.831,0.097,76.846,0.192
zero,28,2,79.851,0.077,76.865,0.173
zero,29,2,79.851,0.077,76.865,0.173
zero,30,2,79.851,0.077,76.865,0.173
zero,31,2,79.851,0.077,76.865,0.173
zero,32,2,79.851,0.077,76.865,0.173
zero,33,2,79.851,0.077,76.865,0.173
zero,34,2,78.784,0.143,75.846,0.231
zero,35,2,77.762,0.166,74.865,0.25
low,18,1,74.363,0.0,71.615,0.0
low,19,2,72.427,3.025,69.673,2.981
low,20,2,73.427,3.025,70.635,2.981
low,21,2,74.427,3.025,71.596,2.981
low,22,2,75.427,3.025,72.558,2.981
low,23,2,76.427,3.025,73.519,2.981
low,24,2,77.427,3.025,74.481,2.981
low,25,2,78.312,3.065,75.327,3.019
low,26,2,78.763,2.958,75.769,2.923
low,27,2,79.218,2.936,76.269,2.962
low,28,2,79.546,2.956,76.596,2.981
low,29,2,79.698,2.976,76.769,3.0
low,30,2,79.72,2.997,76.788,3.019
low,31,2,79.72,2.997,76.788,3.019
low,32,2,79.72,2.997,76.788,3.019
low,33,2,79.72,2.997,76.788,3.019
low,34,2,79.22,2.497,76.308,2.538
low,35,2,78.72,1.997,75.827,2.058
medium,19,2,72.446,2.956,69.731,2.962
medium,20,2,73.946,2.456,71.173,2.481
medium,21,2,75.446,1.956,72.615,2.0
medium,22,2,76.641,1.762,73.769,1.808
medium,23,2,77.641,1.762,74.731,1.808
medium,24,2,78.641,1.762,75.692,1.808
medium,25,2,79.641,1.762,76.654,1.808
medium,26,2,80.358,1.479,77.346,1.538
medium,27,2,81.098,1.219,78.135,1.365
medium,28,2,81.793,0.914,78.808,1.077
medium,29,2,82.403,0.565,79.481,0.673
medium,30,2,82.598,0.369,79.692,0.5
medium,31,2,82.75,0.217,79.846,0.346
medium,32,2,82.946,0.021,80.038,0.154
medium,33,2,82.946,0.021,80.038,0.154
medium,34,2,82.946,0.021,80.038,0.154
medium,35,2,82.946,0.021,80.038,0.154
great,17,2,72.402,2.0,69.654,2.0
great,18,2,74.402,2.0,71.577,2.0
great,19,2,75.902,1.5,73.019,1.519
great,20,2,77.222,1.18,74.288,1.212
great,21,2,78.222,1.18,75.25,1.212
great,22,2,79.222,1.18,76.212,1.212
great,23,2,80.222,1.18,77.173,1.212
great,24,2,81.203,1.161,78.115,1.192
great,25,2,82.819,1.777,79.788,1.904
great,26,2,83.845,1.966,80.769,2.077
great,27,2,84.564,2.038,81.538,2.077
great,28,2,85.255,1.671,82.212,1.75
great,29,2,85.795,1.131,82.75,1.25
great,30,2,86.039,0.886,83.019,1.019
great,31,2,86.161,0.764,83.173,0.904
great,32,2,86.161,0.764,83.173,0.904
great,33,2,86.161,0.764,83.192,0.923
great,34,2,86.161,0.764,83.192,0.923
great,35,2,86.161,0.764,83.192,0.923
starter,17,1,72.402,0.0,69.692,0.0
starter,18,1,73.402,0.0,70.654,0.0
starter,19,1,74.402,0.0,71.615,0.0
starter,20,1,75.402,0.0,72.577,0.0
starter,21,1,76.402,0.0,73.538,0.0
starter,22,1,77.402,0.0,74.5,0.0
starter,23,1,78.402,0.0,75.462,0.0
starter,24,1,79.402,0.0,76.423,0.0
starter,25,1,80.287,0.0,77.269,0.0
starter,26,1,80.68,0.0,77.654,0.0
starter,27,1,80.68,0.0,77.654,0.0
starter,28,1,80.768,0.0,77.769,0.0
starter,29,1,80.768,0.0,77.846,0.0
starter,30,1,80.768,0.0,77.923,0.0
starter,31,1,80.768,0.0,77.962,0.0
starter,32,1,80.768,0.0,77.962,0.0
starter,33,1,80.768,0.0,77.962,0.0
starter,34,1,80.768,0.0,77.962,0.0
starter,35,1,80.768,0.0,77.962,0.0
bench,19,1,71.622,0.0,68.923,0.0
bench,20,1,72.622,0.0,69.885,0.0
bench,21,1,73.622,0.0,70.846,0.0
bench,22,1,74.622,0.0,71.808,0.0
bench,23,1,75.622,0.0,72.769,0.0
bench,24,1,76.622,0.0,73.731,0.0
bench,25,1,77.622,0.0,74.692,0.0
bench,26,1,78.622,0.0,75.654,0.0
bench,27,1,79.622,0.0,76.615,0.0
bench,28,1,80.507,0.0,77.462,0.0
bench,29,1,80.768,0.0,77.692,0.0
bench,30,1,80.768,0.0,77.692,0.0
bench,31,1,80.768,0.0,77.692,0.0
bench,32,1,80.768,0.0,77.692,0.0
bench,33,1,80.768,0.0,77.692,0.0
bench,34,1,79.768,0.0,76.731,0.0
bench,35,1,78.768,0.0,75.769,0.0
