scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
low,17,2,66.024,3.092,64.788,3.096
low,18,2,66.874,3.241,65.596,3.25
low,19,6,66.117,2.648,64.859,2.634
low,20,6,67.02,2.723,65.724,2.708
low,21,6,67.883,2.835,66.551,2.821
low,22,6,68.722,2.954,67.353,2.939
low,23,6,69.444,3.02,68.038,3.0
low,24,6,70.025,2.941,68.59,2.924
low,25,6,70.296,2.893,68.846,2.878
low,26,6,70.48,2.871,69.019,2.854
low,27,6,70.631,2.866,69.16,2.847
low,28,6,70.742,2.865,69.263,2.842
low,29,6,70.782,2.843,69.301,2.82
low,30,6,70.782,2.843,69.301,2.82
low,31,6,70.782,2.843,69.301,2.82
low,32,6,70.782,2.843,69.301,2.82
low,33,6,70.782,2.843,69.301,2.82
low,34,6,70.761,2.814,69.282,2.793
low,35,6,70.74,2.786,69.263,2.767
medium,17,1,64.116,0.0,62.846,0.0
medium,18,3,67.094,1.196,65.795,1.189
medium,19,6,66.98,2.591,65.667,2.551
medium,20,6,68.498,2.5,67.122,2.452
medium,21,6,69.678,2.431,68.256,2.38
medium,22,6,70.845,2.417,69.378,2.358
medium,23,6,71.838,2.417,70.333,2.358
medium,24,6,72.788,2.357,71.25,2.304
medium,25,6,73.462,2.258,71.891,2.208
medium,26,6,73.897,2.114,72.301,2.073
medium,27,6,74.014,2.096,72.41,2.055
medium,28,6,74.102,1.997,72.494,1.967
medium,29,6,74.124,1.972,72.513,1.943
medium,30,6,74.124,1.972,72.513,1.943
medium,31,6,74.124,1.972,72.513,1.943
medium,32,6,74.124,1.972,72.513,1.943
medium,33,6,74.124,1.972,72.513,1.943
medium,34,6,73.313,1.573,71.737,1.564
medium,35,6,72.476,1.159,70.936,1.169
great,17,3,66.866,0.634,65.59,0.616
great,18,4,68.719,1.003,67.385,0.97
great,19,6,68.754,2.775,67.397,2.721
great,20,6,70.088,2.629,68.679,2.579
great,21,6,71.229,2.342,69.776,2.297
great,22,6,72.364,2.096,70.865,2.053
great,23,6,73.338,2.073,71.801,2.031
great,24,6,74.132,1.848,72.564,1.813
great,25,6,74.475,1.47,72.891,1.45
great,26,6,74.771,1.189,73.173,1.174
great,27,6,74.994,1.051,73.385,1.025
great,28,6,75.028,1.037,73.417,1.01
great,29,6,75.048,1.021,73.436,0.995
great,30,6,75.048,1.021,73.436,0.995
great,31,6,75.048,1.021,73.436,0.995
great,32,6,75.048,1.021,73.436,0.995
great,33,6,75.048,1.021,73.436,0.995
great,34,6,74.016,0.543,72.449,0.53
great,35,6,72.952,0.401,71.429,0.364
starter,17,3,65.003,1.5,63.731,1.528
starter,18,5,66.933,1.155,65.631,1.203
starter,19,6,68.458,1.098,67.122,1.141
starter,20,6,69.575,1.102,68.192,1.13
starter,21,6,70.575,1.102,69.154,1.13
starter,22,6,71.575,1.102,70.115,1.13
starter,23,6,72.575,1.102,71.077,1.13
starter,24,6,73.563,1.097,72.026,1.123
starter,25,6,74.086,0.922,72.519,0.926
starter,26,6,74.279,0.604,72.705,0.603
starter,27,6,74.434,0.379,72.853,0.356
starter,28,6,74.434,0.379,72.853,0.356
starter,29,6,74.434,0.379,72.853,0.356
starter,30,6,74.434,0.379,72.853,0.356
starter,31,6,74.434,0.379,72.853,0.356
starter,32,6,74.434,0.379,72.853,0.356
starter,33,6,74.434,0.379,72.853,0.356
starter,34,6,73.689,0.346,72.141,0.357
starter,35,6,72.963,0.556,71.449,0.569
bench,17,2,66.142,0.939,64.923,0.923
bench,18,6,66.262,1.891,65.032,1.882
bench,19,6,66.893,1.998,65.635,1.979
bench,20,6,67.499,2.165,66.212,2.13
bench,21,6,68.053,2.334,66.737,2.281
bench,22,6,68.538,2.526,67.199,2.455
bench,23,6,68.942,2.666,67.583,2.579
bench,24,6,69.298,2.808,67.923,2.709
bench,25,6,69.423,2.825,68.038,2.72
bench,26,6,69.507,2.847,68.115,2.737
bench,27,6,69.536,2.855,68.141,2.743
bench,28,6,69.55,2.86,68.154,2.747
bench,29,6,69.558,2.863,68.16,2.748
bench,30,6,69.558,2.863,68.16,2.748
bench,31,6,69.558,2.863,68.16,2.748
bench,32,6,69.558,2.863,68.16,2.748
bench,33,6,69.558,2.863,68.16,2.748
bench,34,6,69.558,2.863,68.16,2.748
bench,35,6,69.558,2.863,68.16,2.748
