scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
low,17,2,69.893,3.036,66.654,3.038
low,18,2,70.857,3.072,67.577,3.077
low,19,6,70.017,2.598,66.756,2.579
low,20,6,70.931,2.661,67.635,2.639
low,21,6,71.837,2.732,68.506,2.707
low,22,6,72.726,2.78,69.359,2.751
low,23,6,73.551,2.8,70.147,2.764
low,24,6,74.314,2.751,70.878,2.714
low,25,6,74.627,2.658,71.186,2.623
low,26,6,74.925,2.603,71.468,2.568
low,27,6,75.177,2.591,71.705,2.554
low,28,6,75.35,2.587,71.872,2.549
low,29,6,75.48,2.591,71.994,2.551
low,30,6,75.48,2.591,71.994,2.551
low,31,6,75.48,2.591,71.994,2.551
low,32,6,75.48,2.591,71.994,2.551
low,33,6,75.48,2.591,71.994,2.551
low,34,6,75.429,2.526,71.949,2.493
low,35,6,75.385,2.468,71.91,2.441
medium,17,1,67.929,0.0,64.654,0.0
medium,18,3,71.022,1.255,67.705,1.259
medium,19,6,70.977,2.612,67.647,2.572
medium,20,6,72.571,2.605,69.173,2.552
medium,21,6,73.744,2.547,70.301,2.491
medium,22,6,74.91,2.542,71.423,2.48
medium,23,6,75.889,2.543,72.365,2.481
medium,24,6,76.751,2.385,73.199,2.331
medium,25,6,77.458,2.283,73.878,2.232
medium,26,6,77.946,2.083,74.353,2.039
medium,27,6,78.273,1.907,74.66,1.865
medium,28,6,78.396,1.667,74.776,1.637
medium,29,6,78.491,1.473,74.865,1.45
medium,30,6,78.491,1.473,74.865,1.45
medium,31,6,78.491,1.473,74.865,1.45
medium,32,6,78.491,1.473,74.865,1.45
medium,33,6,78.491,1.473,74.865,1.45
medium,34,6,77.572,0.994,74.013,1.002
medium,35,6,76.619,0.554,73.128,0.584
great,17,3,70.915,0.829,67.615,0.787
great,18,4,72.692,1.142,69.337,1.087
great,19,6,72.791,2.752,69.417,2.693
great,20,6,74.109,2.571,70.686,2.52
great,21,6,75.254,2.279,71.788,2.236
great,22,6,76.393,2.013,72.885,1.974
great,23,6,77.365,1.987,73.821,1.95
great,24,6,78.12,1.746,74.545,1.718
great,25,6,78.536,1.321,74.942,1.312
great,26,6,78.869,1.021,75.263,1.019
great,27,6,79.051,0.891,75.442,0.872
great,28,6,79.172,0.878,75.558,0.844
great,29,6,79.208,0.855,75.596,0.808
great,30,6,79.208,0.855,75.596,0.808
great,31,6,79.208,0.855,75.596,0.808
great,32,6,79.208,0.855,75.596,0.808
great,33,6,79.208,0.855,75.596,0.808
great,34,6,78.113,0.357,74.571,0.312
great,35,6,76.986,0.469,73.513,0.379
starter,17,3,68.879,1.451,65.603,1.478
starter,18,5,70.916,0.947,67.608,0.997
starter,19,6,72.414,0.875,69.077,0.907
starter,20,6,73.568,0.926,70.186,0.929
starter,21,6,74.568,0.926,71.147,0.929
starter,22,6,75.568,0.926,72.109,0.929
starter,23,6,76.568,0.926,73.071,0.929
starter,24,6,77.557,0.921,74.019,0.924
starter,25,6,78.238,0.833,74.673,0.822
starter,26,6,78.555,0.665,74.974,0.622
starter,27,6,78.786,0.518,75.199,0.455
starter,28,6,78.786,0.518,75.199,0.455
starter,29,6,78.793,0.515,75.205,0.453
starter,30,6,78.793,0.515,75.205,0.453
starter,31,6,78.793,0.515,75.205,0.453
starter,32,6,78.793,0.515,75.205,0.453
starter,33,6,78.793,0.515,75.205,0.453
starter,34,6,77.983,0.315,74.455,0.273
starter,35,6,77.201,0.367,73.731,0.344
bench,17,2,70.219,0.638,66.981,0.635
bench,18,6,70.282,1.86,67.038,1.853
bench,19,6,71.004,1.913,67.731,1.898
bench,20,6,71.678,2.021,68.378,1.994
bench,21,6,72.303,2.197,68.981,2.151
bench,22,6,72.874,2.389,69.526,2.322
bench,23,6,73.425,2.614,70.051,2.527
bench,24,6,73.863,2.785,70.474,2.687
bench,25,6,74.08,2.829,70.679,2.723
bench,26,6,74.217,2.841,70.814,2.734
bench,27,6,74.34,2.865,70.929,2.749
bench,28,6,74.442,2.901,71.026,2.779
bench,29,6,74.479,2.917,71.064,2.793
bench,30,6,74.479,2.917,71.064,2.793
bench,31,6,74.479,2.917,71.064,2.793
bench,32,6,74.479,2.917,71.064,2.793
bench,33,6,74.479,2.917,71.064,2.793
bench,34,6,74.479,2.917,71.064,2.793
bench,35,6,74.479,2.917,71.064,2.793
