scenario,run_id,seed_player_id,season,age,games,goals,assists,weighted_overall,avg_skill,total_skill_change,final_multiplier,profile_name,trait_name,skill_attack,skill_defense,skill_balance,skill_stamina,skill_top_speed,skill_acceleration,skill_response,skill_agility,skill_dribble_accuracy,skill_dribble_speed,skill_short_pass_accuracy,skill_short_pass_speed,skill_long_pass_accuracy,skill_long_pass_speed,skill_shot_accuracy,skill_shot_power,skill_shot_technique,skill_free_kick_accuracy,skill_swerve,skill_heading,skill_jump,skill_technique,skill_aggression,skill_mentality,skill_goal_keeping,skill_team_work
zero,1,147,19,19,0,0,0,74.402,71.692,25,1.9683,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,41,67
low,2,147,19,19,12,1,1,69.402,66.692,25,0.6711,unknown,regular,67,39,60,81,73,73,73,79,80,75,75,70,69,67,66,66,65,62,66,50,69,78,74,59,36,62
medium,3,147,19,19,26,6,5,70.326,67.538,73,4.0057,unknown,regular,68,40,61,82,74,74,74,80,81,76,76,71,70,68,67,67,66,63,67,50,70,79,75,59,35,63
great,4,147,17,17,35,15,15,71.001,68.231,65,3.9659,unknown,regular,69,41,61,83,75,75,74,81,82,77,77,71,71,68,68,68,67,63,67,51,70,80,76,60,36,63
starter,5,147,17,17,34,2,4,72.402,69.692,25,1.7051,unknown,regular,70,42,63,84,76,76,76,82,83,78,78,73,72,70,69,69,68,65,69,53,72,81,77,62,39,65
bench,6,147,19,19,8,0,0,71.836,69.115,36,2.3964,unknown,regular,69,42,62,84,76,76,75,82,83,77,78,72,72,69,68,69,67,64,69,52,71,81,76,61,38,64
zero,7,147,17,17,0,0,0,70.364,67.615,49,2.3943,unknown,regular,68,40,61,82,74,74,74,80,81,76,76,71,70,68,67,67,66,63,67,50,70,79,75,60,36,63
low,8,147,18,18,12,1,1,74.402,71.654,50,3.5335,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,40,67
medium,9,147,19,19,26,6,5,75.535,72.846,29,3.2541,unknown,regular,73,46,66,87,79,79,79,85,87,81,82,76,75,73,72,72,71,68,72,56,75,85,80,65,42,68
great,10,147,17,17,35,15,15,74.446,71.692,51,4.9747,unknown,regular,72,44,65,87,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,40,67
zero,11,147,20,20,0,0,0,75.402,72.654,25,1.9683,unknown,regular,73,45,66,87,79,79,79,85,86,81,81,76,75,73,72,72,71,68,72,56,75,84,80,65,41,68
low,12,147,20,20,12,1,1,70.402,67.654,25,0.6744,unknown,regular,68,40,61,82,74,74,74,80,81,76,76,71,70,68,67,67,66,63,67,51,70,79,75,60,36,63
medium,13,147,20,20,26,6,5,72.326,69.462,50,3.7185,unknown,regular,70,42,63,84,76,76,76,82,83,78,78,73,72,70,69,69,68,65,69,52,72,81,77,61,35,65
great,14,147,18,18,35,15,15,73.001,70.154,50,4.2311,unknown,regular,71,43,63,85,77,77,76,83,84,79,79,73,73,70,70,70,69,65,69,53,72,82,78,62,36,65
starter,15,147,18,18,34,2,4,73.402,70.654,25,1.6622,unknown,regular,71,43,64,85,77,77,77,83,84,79,79,74,73,71,70,70,69,66,70,54,73,82,78,63,39,66
bench,16,147,20,20,8,0,0,72.836,70.077,25,2.3996,unknown,regular,70,43,63,85,77,77,76,83,84,78,79,73,73,70,69,70,68,65,70,53,72,82,77,62,38,65
zero,17,147,18,18,0,0,0,71.923,69.115,39,2.3943,unknown,regular,70,42,63,84,76,76,76,82,83,78,78,72,72,69,68,69,67,64,68,51,71,81,76,61,36,64
low,18,147,19,19,12,1,1,75.665,72.885,32,3.4689,unknown,regular,73,46,66,88,80,79,79,85,87,81,82,76,76,73,72,72,71,68,72,56,75,85,80,65,40,68
medium,19,147,20,20,26,6,5,76.535,73.808,25,3.5188,unknown,regular,74,47,67,88,80,80,80,86,88,82,83,77,76,74,73,73,72,69,73,57,76,86,81,66,42,69
great,20,147,18,18,35,15,15,76.446,73.615,50,5.3575,unknown,regular,74,46,67,89,80,80,80,86,87,82,82,77,76,74,73,73,72,69,73,57,76,85,81,66,40,69
zero,21,147,21,21,0,0,0,76.402,73.615,25,1.9683,unknown,regular,74,46,67,88,80,80,80,86,87,82,82,77,76,74,73,73,72,69,73,57,76,85,81,66,41,69
