scenario,run_id,seed_player_id,season,age,games,goals,assists,weighted_overall,avg_skill,total_skill_change,final_multiplier,profile_name,trait_name,skill_attack,skill_defense,skill_balance,skill_stamina,skill_top_speed,skill_acceleration,skill_response,skill_agility,skill_dribble_accuracy,skill_dribble_speed,skill_short_pass_accuracy,skill_short_pass_speed,skill_long_pass_accuracy,skill_long_pass_speed,skill_shot_accuracy,skill_shot_power,skill_shot_technique,skill_free_kick_accuracy,skill_swerve,skill_heading,skill_jump,skill_technique,skill_aggression,skill_mentality,skill_goal_keeping,skill_team_work
zero,1,147,19,19,0,0,0,74.402,71.692,25,1.9683,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,41,67
zero,2,147,20,20,0,0,0,75.402,72.654,25,1.9683,unknown,regular,73,45,66,87,79,79,79,85,86,81,81,76,75,73,72,72,71,68,72,56,75,84,80,65,41,68
zero,3,147,21,21,0,0,0,76.402,73.615,25,1.9683,unknown,regular,74,46,67,88,80,80,80,86,87,82,82,77,76,74,73,73,72,69,73,57,76,85,81,66,41,69
zero,4,147,22,22,0,0,0,77.402,74.577,25,1.7747,unknown,regular,75,47,68,89,81,81,81,87,88,83,83,78,77,75,74,74,73,70,74,58,77,86,82,67,41,70
zero,5,147,23,23,0,0,0,78.402,75.538,25,1.7747,unknown,regular,76,48,69,90,82,82,82,88,89,84,84,79,78,76,75,75,74,71,75,59,78,87,83,68,41,71
zero,6,147,24,24,0,0,0,79.402,76.5,25,1.5811,unknown,regular,77,49,70,91,83,83,83,89,90,85,85,80,79,77,76,76,75,72,76,60,79,88,84,69,41,72
zero,7,147,25,25,0,0,0,79.753,76.846,9,0.749,unknown,regular,77,50,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,89,84,69,41,72
zero,8,147,26,26,0,0,0,79.798,76.923,2,0.6572,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,9,147,27,27,0,0,0,79.798,76.923,0,0.6572,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,10,147,28,28,0,0,0,79.798,76.923,0,0.6572,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,11,147,29,29,0,0,0,79.798,76.923,0,0.6572,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,12,147,30,30,0,0,0,79.798,76.923,0,0.0,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,13,147,31,31,0,0,0,79.798,76.923,0,0.0,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,14,147,32,32,0,0,0,79.798,76.923,0,0.0,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,15,147,33,33,0,0,0,79.798,76.923,0,0.0,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,16,147,34,34,0,0,0,79.798,76.923,0,-0.5112,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
zero,17,147,35,35,0,0,0,79.798,76.923,0,-0.5112,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,79,77,76,77,75,72,76,60,79,90,84,69,41,72
