scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
low,19,1,72.623,0.0,69.346,0.0
low,20,1,73.623,0.0,70.308,0.0
low,21,1,74.623,0.0,71.269,0.0
low,22,1,75.623,0.0,72.231,0.0
low,23,1,76.623,0.0,73.192,0.0
low,24,1,77.623,0.0,74.154,0.0
low,25,1,78.551,0.0,75.038,0.0
low,26,1,78.858,0.0,75.346,0.0
low,27,1,78.942,0.0,75.423,0.0
low,28,1,78.942,0.0,75.423,0.0
low,29,1,78.942,0.0,75.423,0.0
low,30,1,78.942,0.0,75.423,0.0
low,31,1,78.942,0.0,75.423,0.0
low,32,1,78.942,0.0,75.423,0.0
low,33,1,78.942,0.0,75.423,0.0
low,34,1,77.942,0.0,74.5,0.0
low,35,1,76.942,0.0,73.577,0.0
medium,19,1,66.929,0.0,63.692,0.0
medium,20,1,67.929,0.0,64.654,0.0
medium,21,1,68.929,0.0,65.615,0.0
medium,22,1,69.929,0.0,66.577,0.0
medium,23,1,70.929,0.0,67.538,0.0
medium,24,1,71.929,0.0,68.5,0.0
medium,25,1,72.857,0.0,69.385,0.0
medium,26,1,73.63,0.0,70.115,0.0
medium,27,1,74.324,0.0,70.769,0.0
medium,28,1,75.019,0.0,71.423,0.0
medium,29,1,75.628,0.0,72.0,0.0
medium,30,1,75.628,0.0,72.0,0.0
medium,31,1,75.628,0.0,72.0,0.0
medium,32,1,75.628,0.0,72.0,0.0
medium,33,1,75.628,0.0,72.0,0.0
medium,34,1,75.628,0.0,72.0,0.0
medium,35,1,75.628,0.0,72.0,0.0
great,19,1,66.929,0.0,63.654,0.0
great,20,1,68.929,0.0,65.577,0.0
great,21,1,70.893,0.0,67.462,0.0
great,22,1,72.545,0.0,69.038,0.0
great,23,1,73.545,0.0,70.0,0.0
great,24,1,74.545,0.0,70.962,0.0
great,25,1,75.545,0.0,71.923,0.0
great,26,1,76.545,0.0,72.885,0.0
great,27,1,77.545,0.0,73.846,0.0
great,28,1,78.509,0.0,74.769,0.0
great,29,1,78.728,0.0,75.0,0.0
great,30,1,78.728,0.0,75.0,0.0
great,31,1,78.728,0.0,75.0,0.0
great,32,1,78.728,0.0,75.0,0.0
great,33,1,78.728,0.0,75.0,0.0
great,34,1,77.728,0.0,74.077,0.0
great,35,1,76.728,0.0,73.154,0.0
starter,17,1,67.893,0.0,64.615,0.0
starter,18,1,69.628,0.0,66.269,0.0
starter,19,1,70.628,0.0,67.269,0.0
starter,20,1,71.628,0.0,68.231,0.0
starter,21,1,72.628,0.0,69.192,0.0
starter,22,1,73.628,0.0,70.154,0.0
starter,23,1,74.628,0.0,71.115,0.0
starter,24,1,75.628,0.0,72.077,0.0
starter,25,1,76.628,0.0,73.038,0.0
starter,26,1,77.591,0.0,73.962,0.0
starter,27,1,78.285,0.0,74.615,0.0
starter,28,1,78.408,0.0,74.731,0.0
starter,29,1,78.447,0.0,74.769,0.0
starter,30,1,78.447,0.0,74.769,0.0
starter,31,1,78.447,0.0,74.769,0.0
starter,32,1,78.447,0.0,74.769,0.0
starter,33,1,78.447,0.0,74.769,0.0
starter,34,1,77.518,0.0,73.923,0.0
starter,35,1,76.59,0.0,73.077,0.0
bench,17,1,69.929,0.0,66.692,0.0
bench,18,1,70.929,0.0,67.654,0.0
bench,19,1,71.929,0.0,68.615,0.0
bench,20,1,72.929,0.0,69.577,0.0
bench,21,1,73.929,0.0,70.538,0.0
bench,22,1,74.929,0.0,71.5,0.0
bench,23,1,75.929,0.0,72.462,0.0
bench,24,1,76.857,0.0,73.346,0.0
bench,25,1,77.338,0.0,73.808,0.0
bench,26,1,77.338,0.0,73.808,0.0
bench,27,1,77.338,0.0,73.808,0.0
bench,28,1,77.338,0.0,73.808,0.0
bench,29,1,77.338,0.0,73.808,0.0
bench,30,1,77.338,0.0,73.808,0.0
bench,31,1,77.338,0.0,73.808,0.0
bench,32,1,77.338,0.0,73.808,0.0
bench,33,1,77.338,0.0,73.808,0.0
bench,34,1,77.338,0.0,73.808,0.0
bench,35,1,77.338,0.0,73.808,0.0
