scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
low,17,5,64.677,2.776,63.438,2.758
low,18,13,65.646,2.548,64.388,2.541
low,19,20,66.563,2.326,65.285,2.323
low,20,20,67.621,2.287,66.3,2.285
low,21,20,68.65,2.26,67.287,2.258
low,22,20,69.621,2.235,68.217,2.231
low,23,20,70.565,2.203,69.123,2.197
low,24,20,71.405,2.056,69.929,2.055
low,25,20,71.949,1.866,70.446,1.87
low,26,20,72.376,1.744,70.85,1.745
low,27,20,72.666,1.697,71.123,1.696
low,28,20,72.829,1.654,71.275,1.649
low,29,20,72.892,1.637,71.333,1.63
low,30,20,72.892,1.637,71.333,1.63
low,31,20,72.892,1.637,71.333,1.63
low,32,20,72.892,1.637,71.333,1.63
low,33,20,72.892,1.637,71.333,1.63
low,34,20,72.459,1.309,70.921,1.317
low,35,20,72.048,1.039,70.531,1.059
medium,17,5,65.464,2.351,64.169,2.326
medium,18,9,66.786,2.713,65.457,2.661
medium,19,20,67.346,2.967,66.015,2.918
medium,20,20,68.894,3.019,67.5,2.96
medium,21,20,70.133,2.994,68.69,2.933
medium,22,20,71.233,3.015,69.748,2.948
medium,23,20,72.134,2.874,70.617,2.818
medium,24,20,72.978,2.682,71.429,2.634
medium,25,20,73.51,2.427,71.937,2.385
medium,26,20,73.879,2.118,72.29,2.086
medium,27,20,74.134,1.892,72.531,1.868
medium,28,20,74.292,1.684,72.679,1.67
medium,29,20,74.353,1.6,72.737,1.59
medium,30,20,74.305,1.641,72.69,1.63
medium,31,20,74.256,1.708,72.644,1.694
medium,32,20,74.208,1.797,72.598,1.778
medium,33,20,74.16,1.906,72.552,1.88
medium,34,20,73.099,1.561,71.538,1.547
medium,35,20,72.074,1.365,70.558,1.351
great,17,7,67.109,2.533,65.819,2.494
great,18,15,68.3,2.523,66.967,2.464
great,19,20,69.338,2.993,67.965,2.911
great,20,20,70.784,2.971,69.352,2.889
great,21,20,71.867,2.82,70.39,2.741
great,22,20,72.851,2.687,71.337,2.609
great,23,20,73.638,2.459,72.096,2.392
great,24,20,74.203,2.081,72.64,2.03
great,25,20,74.524,1.752,72.948,1.711
great,26,20,74.787,1.51,73.198,1.471
great,27,20,74.927,1.345,73.331,1.308
great,28,20,74.998,1.236,73.4,1.199
great,29,20,75.052,1.176,73.452,1.136
great,30,20,75.1,1.156,73.498,1.111
great,31,20,75.109,1.156,73.506,1.111
great,32,20,75.109,1.156,73.506,1.111
great,33,20,75.109,1.156,73.506,1.111
great,34,20,73.841,0.563,72.292,0.522
great,35,20,72.595,0.947,71.1,0.88
starter,17,3,65.333,1.287,64.051,1.318
starter,18,13,67.373,1.018,66.08,1.009
starter,19,20,68.104,2.092,66.781,2.04
starter,20,20,69.5,2.343,68.121,2.273
starter,21,20,70.6,2.376,69.179,2.303
starter,22,20,71.628,2.368,70.165,2.294
starter,23,20,72.622,2.361,71.121,2.287
starter,24,20,73.459,2.473,71.927,2.399
starter,25,20,73.725,2.386,72.175,2.317
starter,26,20,73.847,2.334,72.288,2.268
starter,27,20,73.89,2.299,72.329,2.236
starter,28,20,73.824,2.536,72.265,2.463
starter,29,20,73.736,2.777,72.181,2.693
starter,30,20,73.647,3.016,72.096,2.921
starter,31,20,73.558,3.259,72.012,3.153
starter,32,20,73.462,3.525,71.919,3.407
starter,33,20,73.366,3.794,71.827,3.664
starter,34,20,72.44,3.669,70.942,3.546
starter,35,20,71.532,3.636,70.075,3.515
bench,17,6,66.021,1.762,64.788,1.776
bench,18,14,66.808,1.776,65.549,1.788
bench,19,20,67.254,2.307,65.967,2.301
bench,20,20,68.344,2.169,67.012,2.168
bench,21,20,69.344,2.109,67.969,2.111
bench,22,20,70.214,2.098,68.802,2.099
bench,23,20,71.051,2.135,69.602,2.134
bench,24,20,71.768,2.276,70.288,2.264
bench,25,20,72.15,2.241,70.65,2.219
bench,26,20,72.388,2.156,70.877,2.128
bench,27,20,72.546,2.101,71.027,2.069
bench,28,20,72.664,2.08,71.138,2.043
bench,29,20,72.698,2.063,71.169,2.026
bench,30,20,72.698,2.063,71.169,2.026
bench,31,20,72.698,2.063,71.169,2.026
bench,32,20,72.68,2.108,71.152,2.067
bench,33,20,72.659,2.16,71.133,2.115
bench,34,20,72.221,1.913,70.715,1.886
bench,35,20,71.801,1.739,70.315,1.722
