scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
zero,17,1,70.364,0.0,67.615,0.0
zero,18,1,71.923,0.0,69.115,0.0
zero,19,2,73.663,0.74,70.885,0.808
zero,20,2,74.663,0.74,71.846,0.808
zero,21,2,75.663,0.74,72.808,0.808
zero,22,2,76.663,0.74,73.769,0.808
zero,23,2,77.663,0.74,74.731,0.808
zero,24,2,78.663,0.74,75.692,0.808
zero,25,2,79.38,0.457,76.385,0.538
zero,26,2,79.764,0.119,76.769,0.231
zero,27,2,79.809,0.074,76.827,0.173
zero,28,2,79.829,0.054,76.846,0.154
zero,29,2,79.829,0.054,76.846,0.154
zero,30,2,79.829,0.054,76.846,0.154
zero,31,2,79.829,0.054,76.846,0.154
zero,32,2,79.829,0.054,76.846,0.154
zero,33,2,79.829,0.054,76.846,0.154
zero,34,2,79.697,0.186,76.731,0.269
zero,35,2,79.544,0.339,76.596,0.404
low,18,1,74.402,0.0,71.654,0.0
low,19,2,72.534,3.131,69.788,3.096
low,20,2,73.534,3.131,70.75,3.096
low,21,2,74.534,3.131,71.712,3.096
low,22,2,75.534,3.131,72.673,3.096
low,23,2,76.534,3.131,73.635,3.096
low,24,2,77.534,3.131,74.596,3.096
low,25,2,78.087,3.249,75.135,3.212
low,26,2,78.328,3.054,75.423,3.077
low,27,2,78.481,2.9,75.615,2.962
low,28,2,78.546,2.875,75.712,2.942
low,29,2,78.569,2.853,75.769,2.923
low,30,2,78.569,2.853,75.769,2.923
low,31,2,78.569,2.853,75.769,2.923
low,32,2,78.569,2.853,75.769,2.923
low,33,2,78.569,2.853,75.769,2.923
low,34,2,78.069,2.353,75.288,2.442
low,35,2,77.569,1.853,74.808,1.962
medium,19,2,72.931,2.605,70.192,2.654
medium,20,2,74.431,2.105,71.635,2.173
medium,21,2,75.931,1.605,73.077,1.692
medium,22,2,77.271,1.264,74.365,1.365
medium,23,2,78.271,1.264,75.327,1.365
medium,24,2,79.271,1.264,76.288,1.365
medium,25,2,80.09,1.083,77.077,1.192
medium,26,2,80.694,0.687,77.712,0.865
medium,27,2,81.194,0.187,78.212,0.404
medium,28,2,81.423,0.041,78.462,0.192
medium,29,2,81.465,0.044,78.577,0.154
medium,30,2,81.465,0.044,78.577,0.154
medium,31,2,81.465,0.044,78.577,0.154
medium,32,2,81.465,0.044,78.577,0.154
medium,33,2,81.465,0.044,78.577,0.154
medium,34,2,80.465,0.044,77.615,0.154
medium,35,2,79.465,0.044,76.654,0.154
great,17,2,72.724,1.722,69.962,1.731
great,18,2,74.724,1.722,71.885,1.731
great,19,2,76.583,1.582,73.673,1.596
great,20,2,78.083,1.082,75.115,1.115
great,21,2,79.083,1.082,76.077,1.115
great,22,2,80.083,1.082,77.038,1.115
great,23,2,81.083,1.082,78.0,1.115
great,24,2,82.753,1.751,79.75,1.904
great,25,2,83.581,1.947,80.538,2.077
great,26,2,83.992,2.096,81.0,2.154
great,27,2,84.158,2.086,81.173,2.135
great,28,2,84.33,1.995,81.346,2.038
great,29,2,84.393,1.933,81.423,1.962
great,30,2,84.393,1.933,81.423,1.962
great,31,2,84.393,1.933,81.423,1.962
great,32,2,84.393,1.933,81.423,1.962
great,33,2,84.393,1.933,81.423,1.962
great,34,2,83.134,1.675,80.231,1.731
great,35,2,81.981,1.521,79.135,1.596
starter,17,1,72.402,0.0,69.692,0.0
starter,18,1,73.402,0.0,70.654,0.0
starter,19,1,74.402,0.0,71.615,0.0
starter,20,1,75.402,0.0,72.577,0.0
starter,21,1,76.402,0.0,73.538,0.0
starter,22,1,77.402,0.0,74.5,0.0
starter,23,1,78.402,0.0,75.462,0.0
starter,24,1,79.402,0.0,76.423,0.0
starter,25,1,79.838,0.0,76.846,0.0
starter,26,1,79.928,0.0,76.962,0.0
starter,27,1,79.928,0.0,76.962,0.0
starter,28,1,79.928,0.0,76.962,0.0
starter,29,1,79.928,0.0,76.962,0.0
starter,30,1,79.928,0.0,76.962,0.0
starter,31,1,79.928,0.0,76.962,0.0
starter,32,1,79.928,0.0,76.962,0.0
starter,33,1,79.928,0.0,76.962,0.0
starter,34,1,79.621,0.0,76.692,0.0
starter,35,1,79.401,0.0,76.5,0.0
bench,19,1,71.836,0.0,69.115,0.0
bench,20,1,72.836,0.0,70.077,0.0
bench,21,1,73.836,0.0,71.038,0.0
bench,22,1,74.836,0.0,72.0,0.0
bench,23,1,75.836,0.0,72.962,0.0
bench,24,1,76.836,0.0,73.923,0.0
bench,25,1,77.836,0.0,74.885,0.0
bench,26,1,78.836,0.0,75.846,0.0
bench,27,1,79.719,0.0,76.692,0.0
bench,28,1,80.358,0.0,77.308,0.0
bench,29,1,80.44,0.0,77.385,0.0
bench,30,1,80.44,0.0,77.385,0.0
bench,31,1,80.44,0.0,77.385,0.0
bench,32,1,80.44,0.0,77.385,0.0
bench,33,1,80.44,0.0,77.385,0.0
bench,34,1,79.636,0.0,76.654,0.0
bench,35,1,78.873,0.0,75.962,0.0
